jobID,OBOR_nazev,addr,MIN_VZDELANI_nazev
258640704,Výchova a vzdělávání,"Sadová 61, Černošice",ÚSV
2595690707,Výroba a provoz,"Nádražní 505, Kralovice",Střední odborné (vyučen)
2599690793,Obchod a cestovní ruch,"náměstí Svornosti 8, Český Krumlov",Střední odborné (vyučen)
2607090729,Zemědělství a lesnictví,"118, Všeruby",Střední odborné (vyučen)
2621260780,Výroba a provoz,"78, Tachov",Základní + praktická škola
2623950784,Výroba a provoz,"Strojírenská 381, Sedlčany",Střední odborné (vyučen)
2631510770,Doprava,"Masarykova 549, Hořovice",Střední odborné (vyučen)
2636550793,Výroba a provoz,"Toužimská 943, Praha",Střední odborné (vyučen)
2638170790,Výroba a provoz,"52, Modlany",Vysokoškolské
2654120791,Obchod a cestovní ruch,"64, Lukov",Střední odborné (vyučen)
2684300789,Doprava,"Sklenářka 795, Hořovice",Střední odborné (vyučen)
2685090757,Obchod a cestovní ruch,"83, Kdyně",Střední odborné (vyučen)
2702380716,Výroba a provoz,"119, Trnová",Střední odborné (vyučen)
2730370745,Informační technologie,"111, Kounov",Vysokoškolské
2731100767,Služby,"7, Hrob",Střední odborné (vyučen)
2739280777,Výroba a provoz,"119, Trnová",Střední odborné (vyučen)
2739290768,Výroba a provoz,"119, Trnová",Střední odborné (vyučen)
2740960720,Služby,"Cornovova 1066, Brno",Střední odborné (vyučen)
2770840794,Zdravotnictví,"Husova 357, Liberec",ÚSO s maturitou (bez vyučení)
2776160759,Služby,"Alešova 2973, Chomutov",Střední odborné (vyučen)
2782410760,Obchod a cestovní ruch,"327, Malenovice",Střední odborné (vyučen)
2784890759,Zdravotnictví,"Máchova 400, Benešov",Vysokoškolské
2802260743,Stavebnictví,"Lipská 2023, Chomutov",Střední odborné (vyučen)
2804010720,Obchod a cestovní ruch,"227, Dolní Dvořiště",Základní + praktická škola
2804020711,Obchod a cestovní ruch,"227, Dolní Dvořiště",Základní + praktická škola
2804040790,Obchod a cestovní ruch,"227, Dolní Dvořiště",Základní + praktická škola
2804050781,Obchod a cestovní ruch,"227, Dolní Dvořiště",Střední odborné (vyučen)
2805910756,Obrana a ochrana,"Podnikatelská 539, Praha",Základní + praktická škola
2840730749,Finance,"Riegrova 523, Nový Jičín",ÚSO s maturitou (bez vyučení)
2844210721,Výroba a provoz,"Strojírenská 381, Sedlčany",ÚSO s maturitou (bez vyučení)
2847070766,Výroba a provoz,"32, Zbůch",Střední odborné (vyučen)
2849810725,Obrana a ochrana,"Horymírova 2287, Frýdek-Místek",Střední odborné (vyučen)
2852980782,Služby,"Ohrada 417, Hluboká nad Vltavou",Střední odborné (vyučen)
2853860766,Obchod a cestovní ruch,"1, Beroun",ÚSO s maturitou (bez vyučení)
2867740787,Výroba a provoz,"24, Dolní Olešnice",Střední odborné (vyučen)
2872980727,Výroba a provoz,"10, Suchá Lhota",Základní + praktická škola
2876560706,Výroba a provoz,"132, Velhartice",Střední odborné (vyučen)
2884780777,Doprava,"Plzeňská 131, Mariánské Lázně",Základní + praktická škola
2890860737,Doprava,"Vesecko 420, Turnov",Střední odborné (vyučen)
2896830796,Obchod a cestovní ruch,"Kounicova 291, Brno",Střední odborné (vyučen)
2897340725,Doprava,"610, Zašová",Střední odborné (vyučen)
29010761,Stavebnictví,"nan, Strakonice",Základní + praktická škola
2912800779,Výroba a provoz,"Oldřichovská 1437, Tachov",Střední odborné (vyučen)
2913900759,Služby,"Filipínského 2363, Brno",Střední odborné (vyučen)
2926870726,Doprava,"Cihlářská 520, Domažlice",Střední odborné (vyučen)
2943970759,Výroba a provoz,"Orlík 266, Plzeň",Střední odborné (vyučen)
2950150726,Zdravotnictví,"Metyšova 465, Jilemnice",Vyšší odborné
2960330779,Výroba a provoz,"Slunečná 970, Odry",Střední odborné (vyučen)
2961590712,Zemědělství a lesnictví,"42, Horní Stropnice",Základní + praktická škola
2963260761,Služby,"Cihlářská 520, Domažlice",Střední odborné (vyučen)
2979280796,Výroba a provoz,"Teplická 215, Jílové",Základní + praktická škola
2988390745,Obchod a cestovní ruch,"109, Špindlerův Mlýn",Střední odborné (vyučen)
2993870760,Obchod a cestovní ruch,"116, Rozvadov",Střední odborné (vyučen)
3009670702,Obchod a cestovní ruch,"náměstí Míru 140, Lišov",Střední odborné (vyučen)
3010784,Finance,"Kischova 1732, Praha",ÚSO (vyučení s maturitou)
3019760739,Obchod a cestovní ruch,"1. máje 2627, Rožnov pod Radhoštěm",Střední odborné (vyučen)
3025450759,Obchod a cestovní ruch,"Zadní č.e. 1, Kladruby",Základní + praktická škola
3031160761,Služby,"Hlinky 54, Brno",Střední odborné (vyučen)
3036180705,Doprava,"Hlavní 387, Svitavy",Střední odborné (vyučen)
3041630747,Obchod a cestovní ruch,"Antonína Slavíčka 892, Svitavy",Střední odborné (vyučen)
3064650787,Obchod a cestovní ruch,"1, Litomyšl",Střední odborné (vyučen)
3071980786,Výroba a provoz,"Sportovní 863, Kostelec na Hané",Střední odborné (vyučen)
30740756,Zdravotnictví,"Hloubětínská 13, Praha",Vysokoškolské
3074780788,Informační technologie,"Holandská 874, Brno",Bakalářské
3083040726,Obchod a cestovní ruch,"Dukelská 2358, Česká Lípa",Střední odborné (vyučen)
3083050717,Finance,"Dukelská 2358, Česká Lípa",Střední odborné (vyučen)
3087920796,Stavebnictví,"100, Dívčice",Střední odborné (vyučen)
3087930787,Výroba a provoz,"100, Dívčice",Střední odborné (vyučen)
3105680720,Výchova a vzdělávání,"Masarykova 506, Brno",Bakalářské
3137980750,Obrana a ochrana,"Polská 432, Trutnov",Střední odborné (vyučen)
314540737,Výroba a provoz,"Krkonošská 460, Desná",Základní + praktická škola
3154640791,Výroba a provoz,"U Kodetky 1810, Dobříš",Vysokoškolské
3162060709,Služby,"třída Generála Píky 2005, Brno",Střední odborné (vyučen)
3167070759,Zdravotnictví,"Vodní 987, Brno",ÚSO s maturitou (bez vyučení)
3191100763,Služby,"Kaplická 432, Český Krumlov",Střední odborné (vyučen)
3192810776,Výroba a provoz,"Štěpánov 728, Valašské Meziříčí",Střední odborné (vyučen)
3201760772,Výroba a provoz,"Nádražní 251, Kdyně",ÚSV
3226410703,Doprava,"24, Kakejcov",Základní + praktická škola
3234840779,Obchod a cestovní ruch,"19, Babylon",Střední odborné (vyučen)
3241360731,Výroba a provoz,"Na Kaplance 569, Nepomuk",ÚSO s maturitou (bez vyučení)
3241380713,Obchod a cestovní ruch,"Na Kaplance 569, Nepomuk",ÚSO s maturitou (bez vyučení)
3241390704,Výroba a provoz,"Na Kaplance 569, Nepomuk",Střední odborné (vyučen)
3241400792,Výroba a provoz,"Na Kaplance 569, Nepomuk",Střední odborné (vyučen)
3241410783,Výroba a provoz,"Na Kaplance 569, Nepomuk",Střední odborné (vyučen)
3241420774,Výroba a provoz,"Na Kaplance 569, Nepomuk",Střední odborné (vyučen)
3241440756,Výroba a provoz,"Na Kaplance 569, Nepomuk",Střední odborné (vyučen)
3258240768,Výroba a provoz,"Pod Světlou horou 158, Svoboda nad Úpou",Střední odborné (vyučen)
3258690751,Obchod a cestovní ruch,"47, Osek",Základní + praktická škola
3274000746,Doprava,"Josefa Sousedíka 418, Vsetín",Střední odborné (vyučen)
3274100753,Obchod a cestovní ruch,"431, Hutisko-Solanec",Základní + praktická škola
3276990771,Výchova a vzdělávání,"Cejl 892, Brno",Bakalářské
3278900798,Výroba a provoz,"Ctiborova 1192, Chomutov",ÚSO (vyučení s maturitou)
3282640730,Výroba a provoz,"168, Malá Hraštice",Základní + praktická škola
3291500710,Obchod a cestovní ruch,"Dřevařská 2263, Boskovice",ÚSO s maturitou (bez vyučení)
3291510798,Finance,"Dřevařská 2263, Boskovice",ÚSO s maturitou (bez vyučení)
3291520789,Finance,"Dřevařská 2263, Boskovice",ÚSO s maturitou (bez vyučení)
3292760740,Výroba a provoz,"Bubenská 1376, Praha",Základní + praktická škola
3293800774,Výroba a provoz,"Tovární 718, Brno",Střední odborné (vyučen)
3295390798,Zemědělství a lesnictví,"Láz 1675, Rožnov pod Radhoštěm",Střední odborné (vyučen)
3303980730,Stavebnictví,"Mlýnská 42, Prachatice",Střední odborné (vyučen)
3307160778,Zdravotnictví,"náměstí Svobody 272, Janské Lázně",Vysokoškolské
3308740714,Obchod a cestovní ruch,"227, Dolní Dvořiště",Střední odborné (vyučen)
3315130783,Služby,"24, Dolní Olešnice",Základní + praktická škola
332470702,Obchod a cestovní ruch,"Obchodní zóna 261, Otvice",Střední odborné (vyučen)
3329710756,Výroba a provoz,"K Májovu 1394, Chrudim",Střední odborné (vyučen)
3331190782,Výroba a provoz,"170, Černožice",Střední odborné (vyučen)
3340350783,Obchod a cestovní ruch,"Českobudějovická 326, Kaplice",Střední odborné (vyučen)
334560761,Výroba a provoz,"ul. 5. května 690, Klatovy",Vysokoškolské
3348590739,Finance,"U Stadionu 1190, Most",ÚSV
3365880795,Výroba a provoz,"Orlík 266, Plzeň",Střední odborné (vyučen)
3373090708,Doprava,"Ostravská 511, Frýdek-Místek",Střední odborné (vyučen)
3373910746,Zdravotnictví,"Příkop 843, Brno",Vysokoškolské
3374770748,Finance,"náměstí T. G. Masaryka 193, Česká Lípa",ÚSV
3376120794,Obchod a cestovní ruch,"Plumlovská 701, Prostějov",ÚSO s maturitou (bez vyučení)
3381500705,Obchod a cestovní ruch,"U Vodárny 2214, Benešov",Střední odborné (vyučen)
3383700762,Stavebnictví,"Marie Hübnerové 1704, Brno",ÚSO s maturitou (bez vyučení)
3388000772,Obchod a cestovní ruch,"Školská 695, Praha",ÚSV
3401180744,Výroba a provoz,"Na Kaplance 569, Nepomuk",ÚSO s maturitou (bez vyučení)
3423670776,Finance,"Vodní 11, Domažlice",ÚSV
3433210726,Výroba a provoz,"Kněžskodvorská 2277, České Budějovice",ÚSO (vyučení s maturitou)
3435190787,Zdravotnictví,"Příkop 843, Brno",Vysokoškolské
3435330758,Doprava,"nan, Prostějov",Základní + praktická škola
3441700748,Služby,"Bavorská 856, Praha",Střední odborné (vyučen)
3443100749,Obchod a cestovní ruch,"117, Srní",Střední odborné (vyučen)
3446200772,Finance,"Příkop 843, Brno",Střední odborné (vyučen)
3450510773,Výroba a provoz,"79, Velké Hamry",Střední odborné (vyučen)
3452940720,Obrana a ochrana,"156, Černovice",Základní + praktická škola
3454790704,Stavebnictví,"13, Chrášťany",Střední odborné (vyučen)
3454800792,Stavebnictví,"13, Chrášťany",Střední odborné (vyučen)
3460160721,Výroba a provoz,"Plzeňská 31, Králův Dvůr",Střední odborné (vyučen)
3476330718,Výroba a provoz,"Nové Dvory-Vršavec 1848, Frýdek-Místek",Základní + praktická škola
3493090766,Výroba a provoz,"Průmyslová 1136, Přeštice",Střední odborné (vyučen)
3494490767,Výroba a provoz,"235, Frymburk",Střední odborné (vyučen)
350280775,Výroba a provoz,"24, Dolní Olešnice",Střední odborné (vyučen)
3503580734,Zemědělství a lesnictví,"Brožíkova 862, Třemošná",Střední odborné (vyučen)
3507580723,Obchod a cestovní ruch,"Slavkovská 1145, Rousínov",Střední odborné (vyučen)
3510310788,Výroba a provoz,"Matiční 8, Studénka",Střední odborné (vyučen)
3510650773,Výroba a provoz,"Rokytova 3949, Brno",Střední odborné (vyučen)
3520450780,Obrana a ochrana,"Jihlavská 320, Troubsko",Střední odborné (vyučen)
3525280798,Obchod a cestovní ruch,"Palackého 455, Rožnov pod Radhoštěm",Střední odborné (vyučen)
3526360796,Obchod a cestovní ruch,"Bubenská 328, Praha",Základní + praktická škola
3529000748,Výchova a vzdělávání,"Žižkova 233, Říčany",ÚSO s maturitou (bez vyučení)
3529390785,Služby,"Luční 221, Tachlovice",Střední odborné (vyučen)
3532640770,Zdravotnictví,"Moskevská 658, Liberec",Vysokoškolské
3543010749,Informační technologie,"U Císařských lázní 368, Teplice",ÚSO (vyučení s maturitou)
3543660746,Výroba a provoz,"Sokolská 593, Valašské Meziříčí",ÚSO (vyučení s maturitou)
3543670737,Obchod a cestovní ruch,"Sokolská 593, Valašské Meziříčí",Střední odborné (vyučen)
3557400796,Výroba a provoz,"Pražská 130, Velké Přílepy",Střední odborné (vyučen)
3581320705,Výroba a provoz,"R. Tomáška 859, Studénka",ÚSO s maturitou (bez vyučení)
3581330793,Služby,"R. Tomáška 859, Studénka",Střední odborné (vyučen)
35820743,Zdravotnictví,"Purkyňova 1849, Česká Lípa",Vysokoškolské
3587690792,Výroba a provoz,"Strojírenská 381, Sedlčany",ÚSO s maturitou (bez vyučení)
3596820723,Výroba a provoz,"8, Čenkov",ÚSO s maturitou (bez vyučení)
3596840705,Stavebnictví,"K Podlesí 649, Příbram",ÚSO (vyučení s maturitou)
3597160708,Doprava,"Partyzánská 322, Litomyšl",Střední odborné (vyučen)
3608290779,Výroba a provoz,"161, Hlavenec",Základní + praktická škola
3613680778,Výroba a provoz,"39, Pernarec",Střední odborné (vyučen)
3642200718,Stavebnictví,"K Podlesí 649, Příbram",Střední odborné (vyučen)
3643160727,Výchova a vzdělávání,"Dukelská 61, Kovářská",ÚSV
3647020745,Výroba a provoz,"Sadová 604, Holýšov",ÚSO (vyučení s maturitou)
3647070797,Výroba a provoz,"Nádražní 251, Kdyně",ÚSO s maturitou (bez vyučení)
3647080788,Výroba a provoz,"Nádražní 251, Kdyně",ÚSO s maturitou (bez vyučení)
3650000779,Obchod a cestovní ruch,"Střední 549, Brno",Střední odborné (vyučen)
3650340764,Obchod a cestovní ruch,"81, Česká Kubice",Střední odborné (vyučen)
3662190769,Obchod a cestovní ruch,"11, Puclice",Střední odborné (vyučen)
3665360729,Výroba a provoz,"Konradova 2208, Brno",Střední odborné (vyučen)
3676010747,Výroba a provoz,"Bubenská 1376, Praha",Střední odborné (vyučen)
3681980709,Výroba a provoz,"Hviezdoslavova 410, Brno",Střední odborné (vyučen)
3688350796,Obrana a ochrana,"nan, České Budějovice",Základní + praktická škola
3695520745,Služby,"Joštovo nám. 1, Prostějov",Střední odborné (vyučen)
3696590752,Výroba a provoz,"170, Černožice",Střední odborné (vyučen)
3701980751,Obrana a ochrana,"Jankovcova 1569, Praha",Základní + praktická škola
3703040767,Výroba a provoz,"Nádražní 272, Hostivice",Střední odborné (vyučen)
3704630791,Informační technologie,"Hilleho 1841, Brno",Vysokoškolské
3705830778,Výroba a provoz,"Rohova 98, Domažlice",Střední odborné (vyučen)
3710490755,Zdravotnictví,"Partyzánská 77, Bruntál",ÚSO s maturitou (bez vyučení)
3716980734,Výroba a provoz,"U Poráků 512, Český Krumlov",Střední odborné (vyučen)
3717940743,Stavebnictví,"Dr. Milady Horákové 340, Liberec",Střední odborné (vyučen)
3729120769,Stavebnictví,"Československé armády 239, Loket",Střední odborné (vyučen)
3733570741,Stavebnictví,"náměstí J. V. Kamarýta 49, Velešín",Střední odborné (vyučen)
3733580732,Stavebnictví,"náměstí J. V. Kamarýta 49, Velešín",Střední odborné (vyučen)
3740120763,Zdravotnictví,"T. G. Masaryka 9, Svitavy",ÚSO s maturitou (bez vyučení)
3742890792,Výchova a vzdělávání,"Školní 438, Chrastava",ÚSO s maturitou (bez vyučení)
3745590787,Výroba a provoz,"Dobřanská 101, Chlumčany",Střední odborné (vyučen)
3748280791,Výroba a provoz,"Sokolovská 1169, Litomyšl",Střední odborné (vyučen)
3762950780,Obchod a cestovní ruch,"Urbinská 236, Český Krumlov",Střední odborné (vyučen)
3763410754,Stavebnictví,"348, Kasejovice",Střední odborné (vyučen)
3766930787,Doprava,"Za Tratí 602, Klatovy",Střední odborné (vyučen)
3770320743,Stavebnictví,"Urbinská 152, Český Krumlov",Střední odborné (vyučen)
3776180707,Doprava,"nan, Český Krumlov",Střední odborné (vyučen)
3792280767,Výchova a vzdělávání,"Kopečná 324, Brno",Bakalářské
3792330722,Zemědělství a lesnictví,"Klímova 2053, Brno",ÚSO s maturitou (bez vyučení)
3800090722,Obchod a cestovní ruch,"Obchodní 1129, Plzeň",Střední odborné (vyučen)
3808230768,Stavebnictví,"Kloknerova 2249, Praha",Bez vzdělání
3814410735,,"Vlkov 71, Litomyšl",ÚSO s maturitou (bez vyučení)
3814420726,Obchod a cestovní ruch,"396, Čistá",Střední odborné (vyučen)
3815490733,Zdravotnictví,"I. P. Pavlova 552, Krnov",Vysokoškolské
3819480731,Výroba a provoz,"57, Myslinka",Základní + praktická škola
3829830728,Stavebnictví,"Koliště 880, Brno",Základní + praktická škola
